"gene"	"ann"	"ara"	"max"	"tmax"	"tmin"	"pos"	"per"	"reanno"	"par"	"fix"
"yhiO"	"frameshift"	"m3"	0.208333333333	43000	41500	3570145	6	"yhiO"	4	0
"yhiO"	"promoter"	"m3"	0.19262295082	43500	32500	3570410	21	"IR2867"	8	1
"yhiO"	"sv"	"m3"	0.504032258065	33000	2000	3570431	22	"IR2867"	8	1
"yhiP"	"promoter"	"m3"	0.0946502057613	39000	14500	3571484	7	"IR2868"	4	1
"prlC"	"missense"	"m3"	0.0121951219512	48000	45000	3573909	2	"prlC"	4	1
"prlC"	"missense"	"m3"	0.769230769231	50000	1000	3575602	24	"prlC"	4	1
"yhiR"	"promoter"	"m3"	0.0576923076923	49500	9500	3575992	14	"IR2871"	2	0
"yhiR"	"missense"	"m3"	0.0820895522388	50000	4000	3576751	3	"yhiR"	3	0
"intergenic"	"intergenic"	"m3"	0.0555555555556	44500	20500	3578596	8	"ESCRE3575"	4	0
"arsB"	"frameshift"	"m3"	0.103448275862	43000	35500	3580456	13	"arsB"	5	0
"arsB"	"missense"	"m3"	0.0540540540541	42000	41500	3580610	8	"arsB"	5	0
"intergenic"	"intergenic"	"m3"	0.3	44000	17500	3581363	30	"IR2878"	5	2
"intergenic"	"intergenic"	"m3"	0.0641025641026	38000	2000	3581363	27	"IR2878"	5	2
"slp"	"missense"	"m3"	0.0217391304348	29000	19500	3583996	4	"slp"	4	1
"hdeB"	"missense"	"m3"	0.0140845070423	20500	20500	3585512	2	"hdeB"	4	1
"yhiV"	"missense"	"m3"	0.00854700854701	35500	35500	3590782	1	"mdtF"	7	2
"yhiV"	"missense"	"m3"	0.0888888888889	36000	35500	3591273	4	"mdtF"	7	2
"yhiV"	"missense"	"m3"	0.105263157895	49500	10500	3592278	5	"mdtF"	7	2
"yhiW"	"frameshift"	"m3"	0.322580645161	43000	5000	3593848	19	"gadW"	5	1
"yhiW"	"missense"	"m3"	0.191780821918	49500	48500	3594030	4	"gadW"	5	1
"intergenic"	"intergenic"	"m3"	0.00985221674877	50000	50000	3594381	1	"ECB_misc_RNA_11"	4	0
"intergenic"	"intergenic"	"m3"	0.114285714286	49500	3000	3594452	28	"ECB_misc_RNA_11"	4	0
"gadX"	"promoter"	"m3"	0.0294117647059	16000	10500	3595353	6	"IR2891"	4	0
"gadA"	"missense"	"m3"	0.190476190476	42500	39000	3596452	8	"gadA"	4	1
"yhjA"	"frameshift"	"m3"	0.104046242775	41500	41000	3597654	5	"yhjA"	6	1
"yhjA"	"frameshift"	"m3"	0.142857142857	37000	9500	3598029	27	"yhjA"	6	1
"intergenic"	"intergenic"	"m3"	0.193103448276	43500	29500	3598782	8	"IR2893"	2	0
"yhjD"	"frameshift"	"m3"	0.0357142857143	36500	36500	3603627	1	"yhjD"	3	2
"yhjE"	"missense"	"m3"	0.0555555555556	15000	11000	3605380	14	"yhjE"	3	0
"yhjE"	"missense"	"m3"	0.00662251655629	46000	46000	3605506	1	"yhjE"	3	0
"yhjG"	"missense"	"m3"	0.337209302326	47000	17000	3605811	11	"yhjG"	6	2
"yhjG"	"missense"	"m3"	0.29702970297	50000	11000	3605955	9	"yhjG"	6	2
"yhjG"	"missense"	"m3"	0.0243902439024	13000	13000	3606717	6	"yhjG"	6	2
"yhjJ"	"missense"	"m3"	0.0754716981132	50000	37500	3610759	5	"yhjJ"	6	4
"yhjJ"	"frameshift"	"m3"	0.0431034482759	44500	2000	3611281	18	"yhjJ"	6	4
"dctA"	"missense"	"m3"	0.508196721311	42500	38500	3612482	17	"dctA"	4	0
"dctA"	"promoter"	"m3"	1	43000	33000	3612959	35	"IR2903"	6	2
"dctA"	"promoter"	"m3"	1	48000	4000	3613010	16	"IR2903"	6	2
"dctA"	"promoter"	"m3"	0.670588235294	33000	9000	3613023	5	"IR2903"	6	2
"yhjK"	"missense"	"m3"	0.025	17500	17500	3613369	3	"yhjK"	7	0
"yhjK"	"missense"	"m3"	0.0181818181818	6000	6000	3613544	3	"yhjK"	7	0
"yhjK"	"missense"	"m3"	0.00699300699301	35000	35000	3614249	1	"yhjK"	7	0
"yhjK"	"missense"	"m3"	0.275449101796	44500	41000	3614585	10	"yhjK"	7	0
"bcsC"	"missense"	"m3"	1	46500	38000	3616490	25	"bcsC"	6	1
"bcsZ"	"missense"	"m3"	0.0736842105263	44500	9500	3618756	6	"bcsZ"	5	0
"yhjN"	"sv"	"m3"	0.0393442622951	39000	4500	3619783	17	"bcsB"	6	2
"yhjO"	"frameshift"	"m3"	0.3	46500	34000	3624172	23	"bcsA"	6	2
"yhjO"	"sv"	"m3"	0.357664233577	47000	34000	3624172	21	"bcsA"	6	2
"yhjQ"	"sv"	"m3"	0.909090909091	46500	33500	3625445	34	"ECB_03382"	6	0
"yhjQ"	"frameshift"	"m3"	0.153846153846	50000	2000	3625450	34	"ECB_03382"	6	0
"yhjQ"	"frameshift"	"m3"	0.192307692308	38000	8000	3625450	24	"ECB_03382"	6	0
"intergenic"	"intergenic"	"m3"	0.0263157894737	34500	34500	3625667	1	"yhjR"	3	1
"ldrD"	"nonsense"	"m3"	0.0833333333333	42000	13500	3629973	10	"ldrD#3"	3	0
"ldrD"	"promoter"	"m3"	0.0344827586207	36000	12500	3630128	4	"IR2912"	3	0
"intergenic"	"intergenic"	"m3"	0.1	36500	8500	3630227	6	"IR2912"	3	0
"yhjV"	"missense"	"m3"	0.0227272727273	38000	11500	3631568	2	"yhjV"	4	0
"yhjV"	"missense"	"m3"	0.0169491525424	2000	2000	3632123	2	"yhjV"	4	0
"dppD"	"missense"	"m3"	0.0526315789474	30500	6000	3633429	5	"dppD"	5	1
"dppB"	"missense"	"m3"	1	43000	14500	3635762	32	"dppB"	7	4
"dppA"	"sv"	"m3"	0.3	38000	37500	3637598	13	"dppA"	5	3
"dppA"	"missense"	"m3"	0.0240963855422	11500	10500	3637823	4	"dppA"	5	3
"intergenic"	"intergenic"	"m3"	0.0277777777778	16500	16500	3638578	1	"IR2919"	5	0
"yhjW"	"frameshift"	"m3"	0.243243243243	50000	36500	3640013	16	"eptB"	6	2
"yhjW"	"frameshift"	"m3"	0.0526315789474	48500	11000	3640013	13	"eptB"	6	2
"yhjW"	"sv"	"m3"	0.0571428571429	49500	44000	3640013	5	"eptB"	6	2
"yhjW"	"missense"	"m3"	0.0196078431373	5500	5500	3640734	1	"eptB"	6	2
"hokA"	"promoter"	"m3"	1	46500	1500	3651129	19	"IR2931"	2	1
"intergenic"	"intergenic"	"m3"	0.173913043478	39000	21000	3652535	16	"IR2932"	3	0
"intergenic"	"sv"	"m3"	0.43023255814	33000	15500	3656457	5	"yiaH"	5	1
"xylA"	"missense"	"m3"	1	46500	8500	3660304	18	"xylA"	5	2
"xylF"	"missense"	"m3"	0.127272727273	50000	47500	3662487	6	"xylF"	3	2
"intergenic"	"intergenic"	"m3"	0.461538461538	43000	20500	3665037	5	"xylH"	4	0
"intergenic"	"intergenic"	"m3"	0.0461538461538	50000	37500	3665195	2	"xylH"	4	0
"malS"	"missense"	"m3"	0.0166666666667	13500	13500	3669325	1	"malS"	6	2
"intergenic"	"intergenic"	"m3"	0.421686746988	47500	28500	3670016	11	"IR2944"	7	1
"avtA"	"promoter"	"m3"	0.0149253731343	18000	18000	3670124	3	"IR2944"	7	1
"avtA"	"missense"	"m3"	0.0104166666667	14000	14000	3670230	1	"avtA"	8	1
"avtA"	"frameshift"	"m3"	0.138461538462	50000	49000	3671263	2	"avtA"	8	1
"yiaM"	"promoter"	"m3"	0.564102564103	16500	16000	3674718	7	"IR2949"	3	1
"yiaM"	"sv"	"m3"	0.2	41000	40500	3674859	3	"yiaM"	4	0
"yiaO"	"sv"	"m3"	0.405405405405	50000	41500	3676956	4	"yiaO"	5	1
"lyxK"	"missense"	"m3"	0.046511627907	49000	49000	3678828	1	"lyxK"	5	1
"sgbH"	"sv"	"m3"	0.244444444444	50000	49000	3679140	3	"sgbH"	2	1
"sgbE"	"sv"	"m3"	1	46500	37000	3680780	27	"sgbE"	3	1
"sgbE"	"frameshift"	"m3"	0.0277777777778	41000	40500	3680781	9	"sgbE"	3	1
"yiaU"	"missense"	"m3"	1	46500	7000	3686883	29	"yiaU"	4	2
"yiaU"	"missense"	"m3"	0.0277777777778	42500	18500	3687451	2	"yiaU"	4	2
"yiaV"	"missense"	"m3"	1	46500	44500	3688320	12	"yiaV"	4	2
"yiaV"	"missense"	"m3"	0.326086956522	29000	28500	3688429	9	"yiaV"	4	2
"aldB"	"missense"	"m3"	0.025	14500	14500	3690630	2	"aldB"	4	0
"yiaY"	"missense"	"m3"	0.2	46500	14500	3691850	7	"yiaY"	4	1
"selB"	"missense"	"m3"	1	46500	28000	3693509	13	"selB"	5	4
"selA"	"missense"	"m3"	0.466666666667	43000	21000	3695110	5	"selA"	5	0
"rhsA"	"sv"	"m3"	1	3000	1000	3697155	76	"rhsA"	9	6
"rhsA"	"missense"	"m3"	0.0727272727273	48500	47500	3698511	3	"rhsA"	9	6
"rhsA"	"nonsense"	"m3"	0.0689655172414	11000	11000	3699647	2	"rhsA"	9	6
"yibJ"	"missense"	"m3"	0.1875	7000	6000	3702792	10	"ECB_03450"	5	1
"intergenic"	"intergenic"	"m3"	0.0188679245283	41000	41000	3704923	3	"IR2969"	5	2
"yibI"	"missense"	"m3"	0.391304347826	42000	29000	3706089	9	"yibI"	3	0
"mtlA"	"missense"	"m3"	0.0136054421769	19500	14000	3708694	2	"mtlA"	6	0
"lldP"	"promoter"	"m3"	0.636363636364	43000	39000	3712195	8	"IR2975"	3	0
"intergenic"	"intergenic"	"m3"	0.0625	4000	4000	3714929	10	"ECB_03460"	8	4
"intergenic"	"sv"	"m3"	0.104395604396	50000	48500	3715587	3	"ECB_03460"	8	4
"intergenic"	"intergenic"	"m3"	0.43137254902	50000	6000	3715587	16	"ECB_03460"	8	4
"intergenic"	"intergenic"	"m3"	0.462365591398	37500	10000	3715825	14	"ECB_03460"	8	4
"intergenic"	"intergenic"	"m3"	0.010101010101	35500	35500	3715891	1	"ECB_03460"	8	4
"intergenic"	"intergenic"	"m3"	0.1	43000	37500	3717982	10	"IR2977"	5	0
"yibK"	"frameshift"	"m3"	0.025641025641	50000	50000	3722407	1	"yibK"	3	1
"cysE"	"missense"	"m3"	0.0571428571429	15000	1000	3723199	7	"cysE"	5	1
"yibO"	"missense"	"m3"	0.197674418605	39000	35000	3726182	13	"gpmI"	3	1
"yibQ"	"missense"	"m3"	0.565789473684	47500	8000	3729777	12	"yibQ"	4	1
"waaL"	"missense"	"m3"	0.159090909091	45500	43500	3737058	9	"waaL"	4	0
"waaY"	"missense"	"m3"	0.125	48000	47500	3740028	5	"waaY"	4	0
"waaT"	"missense"	"m3"	0.152777777778	41000	40500	3740862	4	"waaT#1"	2	1
"waaT"	"sv"	"m3"	1	17000	11000	3742143	79	"waaT#2"	4	3
"pyrE"	"promoter"	"m3"	1	46500	5000	3754155	41	"IR3009"	4	2
"yicC"	"frameshift"	"m3"	0.19696969697	39000	37500	3755730	6	"yicC"	7	3
"yicC"	"nonsense"	"m3"	0.19512195122	44000	500	3755863	11	"yicC"	7	3
"yicF"	"missense"	"m3"	1	44000	4500	3758443	29	"ligB"	5	2
"gltS"	"missense"	"m3"	0.06	45500	44500	3765800	5	"ECB_03510"	3	0
"gltS"	"frameshift"	"m3"	0.166666666667	39000	38500	3765926	5	"ECB_03510"	3	0
"intergenic"	"intergenic"	"m3"	0.0138888888889	44000	44000	3767544	2	"gltS"	7	4
"yicE"	"missense"	"m3"	0.0408163265306	22000	16500	3768437	5	"yicE"	5	1
"yicE"	"missense"	"m3"	0.125	44500	41500	3769293	5	"yicE"	5	1
"yicI"	"missense"	"m3"	0.0333333333333	33500	18000	3771467	4	"yicI"	5	0
"yicI"	"missense"	"m3"	0.131147540984	44500	17500	3772184	9	"yicI"	5	0
"yicI"	"missense"	"m3"	0.0263157894737	36500	14000	3772956	2	"yicI"	5	0
"ykgN"	"missense"	"m3"	0.0111111111111	44500	14500	3776148	2	"ECB_03516"	5	0
"intergenic"	"intergenic"	"m3"	0.428571428571	43000	1000	3779752	22	"ECB_03519"	6	2
"intergenic"	"intergenic"	"m3"	0.0769230769231	31000	9000	3780975	5	"ECB_03520"	4	2
"intergenic"	"intergenic"	"m3"	0.517647058824	48000	10500	3782491	12	"ECB_03521"	7	3
"intergenic"	"intergenic"	"m3"	0.133333333333	37000	37000	3785746	2	"ECB_03523"	6	0
"intergenic"	"intergenic"	"m3"	0.030534351145	50000	47500	3786505	4	"ECB_03525"	3	2
"intergenic"	"intergenic"	"m3"	1	46500	27000	3790391	14	"ECB_03531"	8	3
"intergenic"	"intergenic"	"m3"	0.119047619048	36000	3500	3792526	10	"ECB_03533"	3	1
"intergenic"	"intergenic"	"m3"	0.302752293578	35500	20500	3796460	12	"ECB_03541"	3	0
"intergenic"	"intergenic"	"m3"	0.757575757576	44500	16000	3796751	16	"IR3043"	3	1
"intergenic"	"intergenic"	"m3"	0.027397260274	34500	12500	3796930	5	"setC"	5	1
"intergenic"	"intergenic"	"m3"	0.136363636364	39000	16500	3797246	9	"setC"	5	1
"intergenic"	"intergenic"	"m3"	0.0923076923077	50000	10000	3797715	5	"setC"	5	1
"yicL"	"sv"	"m3"	0.272727272727	31000	18000	3798623	36	"yicL"	6	2
"nlpA"	"frameshift"	"m3"	0.291666666667	49000	12500	3799561	10	"nlpA"	3	0
"intergenic"	"intergenic"	"m3"	0.0138888888889	20500	20500	3800854	1	"yicM"	5	3
"uhpC"	"missense"	"m3"	0.75	44000	5500	3807362	19	"uhpC"	3	1
"uhpB"	"frameshift"	"m3"	0.0147058823529	10500	10500	3809719	2	"uhpB"	5	1
"uhpA"	"promoter"	"m3"	1	46500	500	3810676	63	"IR3054"	5	2
"ilvB"	"missense"	"m3"	0.15	49500	48500	3812319	3	"ilvB"	3	1
"yidJ"	"missense"	"m3"	0.620689655172	50000	18500	3817441	7	"yidJ"	6	0
"yidK"	"missense"	"m3"	0.0540540540541	23000	11500	3819741	5	"yidK"	6	2
"glvBC"	"missense"	"m3"	0.0714285714286	48000	11500	3823362	7	"ECB_03566"	5	0
"ibpB"	"missense"	"m3"	0.318181818182	49500	10000	3826868	7	"ibpB"	3	0
"yidR"	"missense"	"m3"	0.0833333333333	50000	38500	3828908	4	"yidR"	6	0
"yidS"	"missense"	"m3"	0.0263157894737	8500	8500	3830487	2	"cbrA"	4	0
"dgoD"	"missense"	"m3"	0.111111111111	37000	17500	3832654	2	"dgoD"	5	2
"dgoA"	"missense"	"m3"	0.166666666667	49500	4500	3833486	3	"dgoA"	3	0
"yidX"	"sv"	"m3"	0.267515923567	43500	11500	3835924	21	"yidX"	6	0
"yidX"	"sv"	"m3"	0.153846153846	42000	40500	3836132	5	"yidX"	6	0
"yidA"	"missense"	"m3"	0.0967741935484	20000	1000	3837256	64	"yidA"	6	1
"gyrB"	"missense"	"m3"	0.138888888889	48000	47000	3839888	5	"gyrB"	6	1
"gyrB"	"missense"	"m3"	0.05	16000	16000	3840176	2	"gyrB"	6	1
"recF"	"missense"	"m3"	0.259259259259	49500	14500	3840567	7	"recF"	5	1
"dnaA"	"missense"	"m3"	0.228070175439	44000	9500	3843528	14	"dnaA"	5	0
"dnaA"	"missense"	"m3"	0.0625	42000	27000	3843640	10	"dnaA"	5	0
"dnaA"	"missense"	"m3"	0.142857142857	38500	37500	3844068	4	"dnaA"	5	0
"intergenic"	"intergenic"	"m3"	0.384615384615	43000	6000	3848670	19	"IR3081"	5	1
"intergenic"	"intergenic"	"m3"	0.0119047619048	14000	14000	3848883	2	"IR3082"	2	1
"tnaA"	"frameshift"	"m3"	0.509615384615	50000	12500	3850177	6	"tnaA"	6	2
"tnaB"	"missense"	"m3"	0.1875	44500	42000	3850810	7	"tnaB"	5	1
"yidY"	"missense"	"m3"	0.7	44000	40500	3852580	15	"mdtL"	7	0
"yidZ"	"missense"	"m3"	0.224489795918	35000	19000	3853478	12	"yidZ"	4	1
"yieG"	"missense"	"m3"	0.0285714285714	42500	18000	3856931	5	"yieG"	7	1
"yieG"	"nonsense"	"m3"	0.1	49000	33000	3856937	5	"yieG"	7	1
"yieK"	"missense"	"m3"	0.126436781609	44500	20500	3859665	7	"yieK"	4	1
"yieL"	"missense"	"m3"	0.0736842105263	45000	7000	3860364	7	"yieL"	6	2
"yieC"	"frameshift"	"m3"	0.0769230769231	15000	14500	3862181	3	"bglH"	6	1
"bglB"	"missense"	"m3"	0.2	49500	3500	3863358	9	"bglB"	7	2
"bglF"	"missense"	"m3"	0.0338983050847	37500	10000	3865938	4	"bglF"	7	1
"bglG"	"missense"	"m3"	0.396694214876	50000	6000	3866570	8	"bglG"	6	1
"phoU"	"missense"	"m3"	0.0727272727273	46000	9000	3867521	10	"phoU"	3	0
"pstB"	"missense"	"m3"	0.0285714285714	38500	20500	3868535	5	"pstB"	4	1
"pstA"	"missense"	"m3"	0.584905660377	47000	2000	3869718	18	"pstA"	5	1
"pstC"	"missense"	"m3"	1	44000	2000	3869813	29	"pstC"	3	1
"pstS"	"missense"	"m3"	0.0845070422535	41000	11500	3871161	5	"pstS"	6	2
"glmS"	"missense"	"m3"	1	44500	11500	3872302	31	"glmS"	7	2
"glmS"	"missense"	"m3"	0.717948717949	44000	38500	3872923	16	"glmS"	7	2
"intergenic"	"intergenic"	"m3"	0.0547945205479	39000	13500	3875808	21	"IR3102"	6	3
"atpC"	"missense"	"m3"	0.5	50000	48500	3876298	4	"atpC"	3	1
"atpC"	"missense"	"m3"	1	46500	39000	3876316	12	"atpC"	3	1
"atpA"	"missense"	"m3"	0.666666666667	43000	39500	3880100	9	"atpA"	3	1
"atpI"	"promoter"	"m3"	0.4	48000	17500	3882825	8	"IR3111"	5	1
"atpI"	"promoter"	"m3"	0.0869565217391	50000	49500	3882836	2	"IR3111"	5	1
"intergenic"	"intergenic"	"m3"	0.2	37000	35500	3885364	4	"gidA"	5	1
"intergenic"	"intergenic"	"m3"	0.6	47000	41000	3885540	10	"gidA"	5	1
"intergenic"	"intergenic"	"m3"	0.00787401574803	41500	41500	3885670	1	"gidA"	5	1
"intergenic"	"intergenic"	"m3"	0.0816326530612	38000	38000	3885824	4	"gidA"	5	1
"intergenic"	"intergenic"	"m3"	0.01	50000	50000	3886002	1	"IR3114"	5	1
"asnC"	"missense"	"m3"	1	46500	3500	3887330	16	"asnC"	3	1
"asnA"	"missense"	"m3"	1	46500	26000	3887630	13	"asnA"	5	1
"asnA"	"missense"	"m3"	0.0487804878049	35000	14500	3887991	3	"asnA"	5	1
"yieM"	"missense"	"m3"	0.0454545454545	15500	3500	3889474	3	"yieM"	6	3
"yieM"	"missense"	"m3"	0.560975609756	50000	14500	3889768	8	"yieM"	6	3
"yieN"	"missense"	"m3"	0.111111111111	16000	16000	3890206	5	"ravA"	6	1
"yieN"	"frameshift"	"m3"	0.0166666666667	11000	11000	3890656	1	"ravA"	6	1
"yieN"	"sv"	"m3"	0.2	5500	2500	3891532	11	"ESCRE3877"	5	1
"yieN"	"promoter"	"m3"	0.785714285714	37000	13000	3891537	21	"ESCRE3877"	5	1
"yieN"	"promoter"	"m3"	0.9375	49500	11000	3891537	28	"ESCRE3877"	5	1
"kup"	"promoter"	"m3"	0.031746031746	48000	48000	3891631	1	"ESCRE3877"	5	1
"kup"	"frameshift"	"m3"	0.521739130435	44000	35000	3891915	24	"trkD"	8	2
"kup"	"missense"	"m3"	0.0875	39000	10500	3892105	9	"trkD"	8	2
"kup"	"missense"	"m3"	1	45000	28500	3892335	32	"trkD"	8	2
"kup"	"missense"	"m3"	0.0769230769231	49500	49500	3892991	2	"trkD"	8	2
"yieO"	"sv"	"m3"	1	3500	1500	3901457	98	"hsrA"	8	6
"hdfR"	"frameshift"	"m3"	0.1	17000	4000	3909059	10	"hdfR"	3	0
"yifB"	"frameshift"	"m3"	0.0454545454545	43000	38500	3910599	8	"yifB"	6	1
"intergenic"	"intergenic"	"m3"	1	29500	11000	3911965	71	"IR3137"	8	2
"intergenic"	"intergenic"	"m3"	0.0412371134021	49000	43500	3912244	2	"IR3138"	3	0
"ilvG"	"promoter"	"m3"	0.5	49500	40500	3912264	8	"IR3138"	3	0
"ilvG"	"promoter"	"m3"	0.541666666667	42000	2500	3912268	18	"IR3138"	3	0
"ilvG"	"missense"	"m3"	0.754716981132	47000	15500	3913658	10	"ilvG"	5	2
"ilvD"	"frameshift"	"m3"	0.857142857143	41500	4000	3917120	23	"ilvD"	4	0
"ilvY"	"missense"	"m3"	0.0357142857143	12000	12000	3918907	1	"ilvY"	3	0
"ilvC"	"missense"	"m3"	1	44500	11500	3920984	31	"ilvC"	4	1
"intergenic"	"intergenic"	"m3"	0.0277777777778	36000	33000	3922205	2	"ECB_03655"	2	0
"intergenic"	"intergenic"	"m3"	0.0322580645161	8500	8500	3922469	2	"IR3146"	3	0
"rhlB"	"missense"	"m3"	0.108695652174	36500	35500	3926856	5	"rhlB"	5	1
"rfe"	"missense"	"m3"	0.63768115942	44000	14000	3929989	14	"rfe"	6	1
"rfe"	"missense"	"m3"	0.372881355932	48000	6000	3930443	10	"rfe"	6	1
"wzzE"	"missense"	"m3"	0.0222222222222	9000	2000	3931558	5	"wzzE"	6	0
"wecF"	"missense"	"m3"	0.0714285714286	41000	13000	3941350	12	"wzyE"	3	0
"wecF"	"missense"	"m3"	0.024	49000	47500	3941506	2	"wzyE"	3	0
"wecF"	"missense"	"m3"	0.2	49500	48500	3941582	4	"wzyE"	3	0
"aslA"	"missense"	"m3"	1	46500	24500	3947416	18	"aslA"	6	3
"intergenic"	"intergenic"	"m3"	1	48000	29000	3948303	13	"ESCRE3938"	2	1
"hemY"	"missense"	"m3"	0.0113636363636	29500	29500	3949187	1	"hemY"	4	0
"hemY"	"missense"	"m3"	0.0285714285714	47000	12500	3949348	2	"hemY"	4	0
"hemX"	"sv"	"m3"	0.54347826087	38000	4500	3949730	33	"hemX"	9	3
"intergenic"	"intergenic"	"m3"	1	46500	19000	3952766	13	"IR3171"	3	1
"cyaA"	"missense"	"m3"	0.0212765957447	34000	10500	3954588	2	"cyaA"	4	2
"intergenic"	"intergenic"	"m3"	0.0119047619048	10500	9500	3963556	2	"yigE"	5	2
"pldA"	"missense"	"m3"	0.0263157894737	10000	10000	3969469	2	"pldA"	5	2
"recQ"	"missense"	"m3"	0.131147540984	50000	48000	3971477	4	"recQ"	5	2
"metE"	"promoter"	"m3"	0.0588235294118	23000	18500	3977406	4	"IR3194"	4	1
"metE"	"nonsense"	"m3"	0.0227272727273	14000	13500	3977980	3	"metE"	3	2
"ysgA"	"missense"	"m3"	0.125	15500	2500	3979951	12	"ECB_03709"	4	0
"intergenic"	"intergenic"	"m3"	0.0666666666667	42000	13500	3982791	5	"ECB_03712"	4	1
"intergenic"	"intergenic"	"m3"	0.0298507462687	21000	21000	3983120	2	"ECB_03712"	4	1
"intergenic"	"intergenic"	"m3"	0.696428571429	47000	12000	3985460	14	"ECB_03714"	5	0
"intergenic"	"intergenic"	"m3"	0.047619047619	49500	9500	3986665	4	"ECB_03715"	6	1
"intergenic"	"sv"	"m3"	0.195488721805	44000	9500	3986904	11	"ECB_03715"	6	1
"intergenic"	"intergenic"	"m3"	0.2	46500	500	3994046	75	"ECB_03723"	8	2
"intergenic"	"intergenic"	"m3"	0.121212121212	16000	500	3994048	66	"ECB_03723"	8	2
"intergenic"	"intergenic"	"m3"	0.027397260274	17500	17500	3995901	1	"rmuC"	5	2
"intergenic"	"intergenic"	"m3"	0.0615384615385	50000	21000	3996427	2	"rmuC"	5	2
"ubiE"	"missense"	"m3"	0.423076923077	47500	15500	3997557	11	"ubiE"	3	0
"fadB"	"missense"	"m3"	0.241379310345	50000	2000	4007646	7	"fadB"	4	0
"yigZ"	"missense"	"m3"	0.3	49500	7000	4011028	6	"yigZ"	4	1
"trkH"	"missense"	"m3"	0.0810810810811	45500	44000	4012829	5	"trkH"	8	1
"intergenic"	"intergenic"	"m3"	0.947368421053	48000	500	4022380	21	"IR3231"	2	0
"polA"	"missense"	"m3"	0.037037037037	26500	26500	4027148	1	"polA"	4	1
"glnL"	"missense"	"m3"	0.72972972973	44000	6000	4033759	17	"glnL"	3	0
"intergenic"	"intergenic"	"m3"	0.444444444444	49500	2000	4038529	52	"IR3244"	7	2
"yihQ"	"missense"	"m3"	0.3	50000	40000	4046165	4	"yihQ"	5	2
"yihQ"	"missense"	"m3"	1	44000	35500	4046586	30	"yihQ"	5	2
"yihW"	"missense"	"m3"	0.2	50000	7500	4053540	9	"yihW"	4	1
"yihX"	"missense"	"m3"	0.0555555555556	8500	8000	4053866	8	"yihX"	3	0
"yiiD"	"sv"	"m3"	0.104046242775	39000	30000	4055923	8	"yiiD#1"	4	1
"fdoH"	"missense"	"m3"	0.676923076923	47000	5000	4060191	11	"fdoH"	3	0
"fdhD"	"promoter"	"m3"	0.0243902439024	32500	32500	4064134	1	"IR3263"	2	1
"frvR"	"missense"	"m3"	0.166666666667	25000	10500	4066690	5	"frvR"	5	1
"frvR"	"sv"	"m3"	0.00917431192661	44000	44000	4067835	1	"frvR"	5	1
"frvX"	"frameshift"	"m3"	0.0740740740741	32500	13500	4068210	4	"frvX"	4	1
"intergenic"	"intergenic"	"m3"	0.148936170213	48000	47500	4071230	4	"IR3267"	6	0
"rhaA"	"missense"	"m3"	0.875	37000	36000	4074825	3	"rhaA"	3	0
"kdgT"	"frameshift"	"m3"	0.277777777778	49500	23000	4081203	25	"kdgT"	6	2
"intergenic"	"intergenic"	"m3"	0.0526315789474	36500	3500	4086870	12	"IR3279"	3	1
"glpF"	"frameshift"	"m3"	0.25	37000	35500	4097418	5	"glpF"	4	1
"intergenic"	"sv"	"m3"	0.231884057971	43500	38500	4097692	11	"IR3291"	4	0
"hslU"	"missense"	"m3"	1	3500	2000	4100183	96	"hslU"	12	11
"hslU"	"missense"	"m3"	0.1	4000	4000	4100276	5	"hslU"	12	11
"hslU"	"missense"	"m3"	0.04	38000	38000	4100524	1	"hslU"	12	11
"hslV"	"promoter"	"m3"	0.0454545454545	50000	14000	4101843	9	"IR3296"	4	0
"cytR"	"missense"	"m3"	0.0212765957447	37500	37500	4103343	2	"cytR"	4	0
"metL"	"sv"	"m3"	0.157894736842	38000	35000	4110112	14	"metL"	8	3
"metL"	"sv"	"m3"	1	8500	6000	4110237	89	"metL"	8	3
"metL"	"frameshift"	"m3"	0.21875	43000	10500	4110239	39	"metL"	8	3
"yijE"	"missense"	"m3"	0.138888888889	39000	6000	4116965	16	"yijE"	5	0
"frwC"	"missense"	"m3"	0.15625	50000	20500	4123631	4	"frwC"	5	0
"pflD"	"missense"	"m3"	0.0277777777778	33500	12500	4126386	5	"pflD"	4	1
"ppc"	"missense"	"m3"	0.297872340426	50000	11000	4130852	5	"ppc"	5	2
"argE"	"missense"	"m3"	0.0674157303371	48500	46000	4134446	6	"argE"	3	0
"intergenic"	"intergenic"	"m3"	0.25	44500	19000	4140753	12	"IR3323"	4	1
"yijC"	"promoter"	"m3"	0.366666666667	48000	6000	4140859	8	"IR3323"	4	1
"yijC"	"nonsense"	"m3"	1	1000	500	4141441	11	"fabR"	2	1
"trmA"	"missense"	"m3"	0.95	42000	38500	4142669	18	"trmA"	4	0
"intergenic"	"intergenic"	"m3"	0.1	50000	41500	4146283	13	"IR3327"	2	0
"intergenic"	"intergenic"	"m3"	0.0434782608696	49500	35500	4148343	2	"IR3329"	4	0
"intergenic"	"intergenic"	"m3"	0.0454545454545	16000	11000	4148346	6	"IR3329"	4	0
"intergenic"	"intergenic"	"m3"	0.0588235294118	49500	40500	4148393	2	"IR3329"	4	0
"coaA"	"missense"	"m3"	1	44000	37000	4154522	27	"coaA"	5	1
